,pos,depth,hit
0,241,5928,True
1,1059,6705,True
2,3037,3101,True
3,3700,257,True
4,6696,641,True
5,8668,64,False
6,8669,63,False
7,11074,362,True
8,12400,6836,True
9,14408,5972,True
10,15965,563,True
11,21166,7,False
12,21650,51,False
13,21651,51,False
14,21652,51,False
15,21654,55,False
16,21655,55,False
17,21657,54,False
18,21658,59,False
19,21663,56,False
20,21664,58,False
21,21665,57,False
22,22801,5794,True
23,23403,8561,True
24,23755,1069,True
25,24622,2402,True
26,25563,7496,True
27,26464,136,False
28,27865,2694,True
29,27866,2811,True
30,28242,397,False
31,28245,433,False
32,28250,697,False
33,28253,696,False
34,29051,324,True
